,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
83,15,6098,6111,9825.26,9676.99,-2224.0500000000065,-0.015090694800951931,6098,6111,13
84,16,6123,6247,9669.64,9623.31,-741.2799999999988,-0.004791284887544878,6123,6247,124
85,16,6265,6312,9468.98,9412.64,-901.4400000000023,-0.005949954482953879,6265,6312,47
86,16,6357,6391,9541.3,9406.91,-2150.2399999999907,-0.01408508274553777,6357,6391,34
87,16,6435,6553,9387.06,9525.31,2212.0,0.014727720926466903,6435,6553,118
88,16,6614,6637,9176.01,8949.88,-3618.0800000000163,-0.02464360871446314,6614,6637,23
89,16,6648,6661,9021.73,9111.33,1433.6000000000058,0.009931576316294155,6648,6661,13
90,16,6722,6753,9167.26,9047.29,-1919.5199999999895,-0.01308678929145668,6722,6753,31
91,16,6759,6785,9100.28,9072.27,-448.1600000000035,-0.0030779272725675044,6759,6785,26
92,16,6803,6815,9140.46,9060.0,-1287.359999999986,-0.008802620437045716,6803,6815,12
93,16,6840,6920,9199.72,9210.99,180.32000000000698,0.0012250372837434576,6840,6920,80
94,15,6945,6963,9223.78,9209.4,-215.70000000001528,-0.0015590137665904003,6945,6963,18
95,15,6999,7021,9299.3,9250.47,-732.4499999999989,-0.005250932865914604,6999,7021,22
96,15,7037,7081,9208.45,9125.0,-1251.750000000011,-0.009062328622080895,7037,7081,44
97,15,7130,7156,9167.0,9126.95,-600.7499999999891,-0.004368932038834927,7130,7156,26
98,15,7201,7225,9309.96,9309.15,-12.14999999999236,-8.700359614854936e-05,7201,7225,24
99,15,7235,7272,9364.02,9514.3,2254.1999999999825,0.01604866286060891,7235,7272,37
100,15,7302,7471,9584.93,11613.17,30423.6,0.21160717918649374,7302,7471,169
101,14,7483,7486,11940.59,11260.0,-9528.260000000002,-0.05699802103581153,7483,7486,3
102,14,7563,7599,11398.98,11787.91,5445.020000000004,0.034119719483673094,7563,7599,36
103,14,7635,7684,11745.53,11741.65,-54.32000000001426,-0.0003303384351324157,7635,7684,49
104,14,7766,7806,11694.92,11802.72,1509.1999999999898,0.00921767741891344,7766,7806,40
